უჟეჟთაეს-	höchster
ჴდომა-ჲ	Widerstand, Streit, Feindseligkeit
შეჴდომა-ჲ	Hineinspringen, Aufspringen
მიჴდომა-ჲ	Hingehen, Erreichen, überfall
წარჴდომა-ჲ	Weggehen, Vergehen, Verderben, überholen
ზომა-ჲ	Messen
შეზომა-ჲ	Vergleich
განზომა-ჲ	Messen, Maß
ქუეყანისგანზომა-ჲ	Geometrie
მოზომა-ჲ	Messen
კრთომა-ჲ	Bewegung
განკრთომა-ჲ	Erschrecken, Wahnsinnigwerden, Angsthaben; Staunen
ცთომა-ჲ	Irrtum, Fehler
შეცთომა-ჲ	Irrtum, Fehler
წარმოცთომა-ჲ	Verführen, Verleiten, Verfehlen
ბრკომა-ჲ	Falle
ლომა-ჲ	Kleingeld
კინამომა-ჲ	Zimt; Zimt
დგრომა-ჲ	Stehen, Stehenbleiben, Haltmachen
დადგრომა-ჲ	Stehenbleiben, Haltmachen
გარდადგრომა-ჲ	Aushalten, Einhalten
განრომა-ჲ	Lebenbleiben, Rettung
დაშურომა-ჲ	Arbeit, Mühe
გულისწყრომა-ჲ	Zorn
შრომა-ჲ	Arbeit, Mühe
დაშრომა-ჲ	Arbeit, Mühe; Arbeit, Mühe
მოშრომა-ჲ	Herbemühen
დაცხრომა-ჲ	Beruhigung, Besänftigung, Erholung
განცხრომა-ჲ	Freude, Jubel
მოცხრომა-ჲ	Unterhaltung, Verspotten, Freude
განზრქომა-ჲ	Dickwerden, Frechwerden
განზღომა-ჲ	Sattwerden
ძღომა-ჲ	Führen, Führung
წინაძღომა-ჲ	Führung
განძღომა-ჲ	Sattwerden
წარძღომა-ჲ	Führen, Führung
განვრცომა-ჲ	Verbreitung, Ausbreitung
დაცხომა-ჲ	Hitze
დამჴომა-ჲ	Niederfallen, Niederstürzen
ბრმა-ჲ	blind
თერმა-ჲ	Geldersatz
კერმა-ჲ	Kupfergeld, Kupfergefäß
ღრმა-ჲ	tief
ყრმა-ჲ	Kind, Jugendlicher, Knabe, Knecht, Diener, Leibeigener
ლაშქართყრმა-ჲ	Fußvolk
მირთუმა-ჲ	überreichen, Hinbringen, Hinführen
მორთუმა-ჲ	Herführen, Herbringen, überreichen
გამორთუმა-ჲ	Abnehmen, Entgegennehmen, Herausbringen, Herausschaffen
ბრკუმა-ჲ	Hindernis, Stolpern, Aufgehaltenwerden, Fehlgehen
ლუსკუმა-ჲ	Sarg
სუმა-ჲ	Trinken, Gelage, Zecherei; Besitzen, Herbringen, Herführen
ნათელ-სუმა-ჲ	Licht, Herausleuchten
დასუმა-ჲ	Niedersetzen, Niederlegen, Einsetzen
არასუმა-ჲ	Nichthaben, Nichtbesitzen
შესუმა-ჲ	Trinken
გამოსუმა-ჲ	Umreißen, Darstellen
თქუმა-ჲ	Sprechen, Sagen, Drohen
სულთ-თქუმა-ჲ	Stöhnen, Betrübnis
სულ-თქუმა-ჲ	Stöhnen, Seufzen, Betrübnis
მიმოდათქუმა-ჲ	Verbreiten (einer Nachricht)
შეთქუმა-ჲ	Verschwörung, Verhandlung
გამოთქუმა-ჲ	Aussprechen; Erzählen, Erklärung
წარმოთქუმა-ჲ	Sprechen, Sagen
აღმოთქუმა-ჲ	Hervorstoßen, Sprechen, Aussprechen, Beschluß
წართქუმა-ჲ	Bestätigen
გულისთქუმა-ჲ	Wünschen, Begehren
უკუთქუმა-ჲ	Verneinen
აღთქუმა-ჲ	Versprechen, Verheißung, Vereinbarung, Testament, Bund
მიქუმა-ჲ	Aufnehmen, Emporheben
რქუმა-ჲ	Sagen, Nennen
დარქუმა-ჲ	Decken, Bedecken
მირქუმა-ჲ	Ausrichten, Benachrichtigen
ქურქუმა-ჲ	Kurkuma, Gelbwurz
დარწყუმა-ჲ	Stellen (einer Falle)
თანაშერწყუმა-ჲ	Vereinen, Verbinden
ცუმა-ჲ	Anziehen, Kleiden
ჯუარ-ცუმა-ჲ	Kreuzigung; Kreuzigung
ჯუარს-ცუმა-ჲ	Kreuzigung
გარდაცუმა-ჲ	Spannen (des Bogens)
შთაცუმა-ჲ	Kleiden, Anziehen
შეშჭუმა-ჲ	Verzerren des Gesichts
თუალთ-ხუმა-ჲ	Voreingenommenheit
შთამოხუმა-ჲ	Herabnehmen
ჩამოხუმა-ჲ	Herabnehmen
შემოხუმა-ჲ	Hereinbringen
მაქმა-ჲ	Netz
დრაქმა-ჲ	Drachme; Drachme
დიდრაქმა-ჲ	Didrachme
დათქმა-ჲ	Verschlingen, Verschlucken, Hinabstürzen, Versinken
დანთქმა-ჲ	Verschlingen, Verschlucken, Hinabstürzen, Versinken
შთანთქმა-ჲ	Verschlingen
ყმა-ჲ	Kind, Jugendlicher, Knabe, Knecht, Diener, Leibeigener; Kind, Jugendlicher, Knabe, Knecht, Diener, Leibeigener
მორტყმა-ჲ	Sichgürten, Sichkleiden
გარემორტყმა-ჲ	Wappnen, Rüsten
დარწყმა-ჲ	Verbergen, Fallestellen
შერწყმა-ჲ	Vereinen, Verschmelzen
ძმა-ჲ	Bruder, Mönch, Nahestehender
დედისძმა-ჲ	Onkel (Bruder der Mutter)
მამისძმა-ჲ	Onkel
შეჭმა-ჲ	Aufessen, Verzehren
დრახმა-ჲ	Drachme; Drachme
რთხმა-ჲ	Entfalten, Ausstrecken
გარდართხმა-ჲ	Ausdehnung, überdeckung
განრთხმა-ჲ	Ausbreiten, Ausdehnen, Ausstrecken
სხმა-ჲ	Haben
შვილთ-სხმა-ჲ	Kinderhaben
აღჳრ-სხმა-ჲ	Zügeln, Zäumen
დასხმა-ჲ	Legen, Anordnen, Hinwerfen, Pflanzen, Setzen
ზედადასხმა-ჲ	Legen, Verwunden
ჴელთდასხმა-ჲ	Einsetzen, Festlegen
გარდასხმა-ჲ	Herüberholen, Wegwerfen, Wegschütten, überschütten, übereinanderlegen
შთასხმა-ჲ	Hineinschütten, Hineinlegen, Hineinwerfen
ჩასხმა-ჲ	Hineinschütten, Hineinlegen, Hineinwerfen; Hineinschütten, Hineinlegen, Hineinwerfen
შესხმა-ჲ	Anfassen, Anlegen, Kleiden, Schenken, Verleihen, Preisen, Schmücken
ჴორცშესხმა-ჲ	Fleischwerdung, Menschwerdung
გულისხმა-ჲ	Begreifen, Wünschen, Verstand, Aufmerksamkeit
განსხმა-ჲ	Hinauswerfen, Verjagen, Vertreiben
მოსხმა-ჲ	Herbringen, Heranführen, Hertreiben, Anhäufen, Auslegen
აღმოსხმა-ჲ	Heraufkommen, Ausschütten, Herausnehmen
წჳმა-ჲ	Regen
ჴმა-ჲ	Stimme, Lärm, Ruf, Geschrei, Nachricht
შუაჴმა-ჲ	mit maßvoller Stimme
სხუაჴმა-ჲ	in anderer Mundart sprechend
თანაერთჴმა-ჲ	einverstanden, verbündet
მრავალჴმა-ჲ	vielfältig, vielstimmig
უცხოჴმა-ჲ	fremdsprachig
ორჴმა-ჲ	zweierlei Ansicht / Meinung
გულისჴმა-ჲ	Begreifen, Wünschen, Verstand, Aufmerksamkeit; Begreifen, Wünschen, Verstand, Aufmerksamkeit
ბანა-ჲ	Waschen, Baden
დაბანა-ჲ	Waschen, Baden
ქალბანა-ჲ	duftendes Baumharz, Galban
განბანა-ჲ	Waschen, Reinigen
მობანა-ჲ	Waschen, Baden
დანა-ჲ	Messer, Schwert; Messer, Schwert
მათთანა-ჲ	ein bei ihnen Befindlicher
ჩემთანა-ჲ	bei mir befindlich
შენთანა-ჲ	bei dir befindlich, Deiniger
გზისთანა-ჲ	auf dem Weg befindlich
მისთანა-ჲ	bei ihm befindlich, zu ihm gehörig
იესუსთანა-ჲ	Anhänger Jesus
თჳსთანა-ჲ	ein ihm Nahestehender
მოქრისტიანა-ჲ	Christin
მანა-ჲ	Glas, Glasgefäß; kleiner Pfahl, Pflock
მანანა-ჲ	Manna; Opfergabe, Abgabe
სატანა-ჲ	Satan, Teufel
უკუანა-ჲ	hinterer, letzter
მანქანა-ჲ	Vorrichtung, Mechanismus, Maschine; List, Tücke
ყანა-ჲ	Feld, Acker
ქუეყანა-ჲ	Erde, Land, Welt, Festland, Landbesitz, Gebiet, irdisches Leben
წანა-ჲ	Fest, Gelage
ფხანა-ჲ	Kratzen
ებნა-ჲ	Harfespielen
დატკებნა-ჲ	Stampfen
ცებნა-ჲ	Wissen
არაცებნა-ჲ	Unkenntnis, Unwissen
ძებნა-ჲ	Suche
გამოძებნა-ჲ	Untersuchung, Ermittlung
წარგრაგნა-ჲ	Umwickeln, Falten
წიგნა-ჲ	Büchlein
ცოდნა-ჲ	Wissen
არცოდნა-ჲ	Unwissenheit, Bildungsmangel
მობლარდნა-ჲ	Umhüllen, Einwickeln
ბურდნა-ჲ	Flüstern
ენა-ჲ	Zunge, Sprache, Wort
სხუაენა-ჲ	fremdsprachig
კბენა-ჲ	Beißen
დაკბენა-ჲ	Beißen, Stechen
მორბენა-ჲ	Herrennen
ათენაგენა-ჲ	Athenagenes-Fest
დგენა-ჲ	Bekämpfen, Wettkampf
ზედადადგენა-ჲ	Festsetzen, Anordnen
წარდგენა-ჲ	Hinführen, Vorstellen
აღდგენა-ჲ	Aufrichten, Auferstehung; Hervorrufen, Wiederherstellung; Aufrichten, Auferstehung; Hervorrufen, Wiederherstellung
გრგენა-ჲ	Aufreizen, Aufstacheln
შედენა-ჲ	Hineingehen, Eintreten
მიწვენა-ჲ	Hinlegen
ზენა-ჲ	oben befindlich
ზრზენა-ჲ	Widerstand, Unbotmäßigkeit
აღზრზენა-ჲ	Hervorrufen, Erregen, Aufstacheln
ერთენა-ჲ	Gleichgesinnter
შევლენა-ჲ	Hineinlassen, Hineinschicken
განვლენა-ჲ	Abschicken, Wegschicken, Aussenden
წარვლენა-ჲ	Wegschicken
მენა-ჲ	(Zimmer)decke; Schwelle, Stufe; (Zimmer)decke; Schwelle, Stufe
თმენა-ჲ	Erdulden, Ertragen
დათმენა-ჲ	Geduld
სმენა-ჲ	Hören, Verstehen, Zuverstehengeben, Gehorchen, Glauben, Geschichte, Nachricht
შესმენა-ჲ	Vernehmung, Hören, Anzeigen
მოსმენა-ჲ	Hören
რწმენა-ჲ	Glauben
უცხოენა-ჲ	fremdsprachig
განრენა-ჲ	Rettung
ორენა-ჲ	hinterlistig
სმორენა-ჲ	Muräne
აფრენა-ჲ	Auffliegen, Emporfliegen
გარდაფრენა-ჲ	Hinüberfliegen
სენა-ჲ	Zelle, Gemach; Zelle, Gemach
ფარტენა-ჲ	Seil, Baumwollfaden
სტუენა-ჲ	Pfeifen, Singen; Pfeifen, Singen
ქუენა-ჲ	unterer
ბრდღუენა-ჲ	Brüllen, Toben, Wüten
დაყუენა-ჲ	Rasieren; Rasieren
მარჯუენა-ჲ	rechter, Rechte; richtig, tüchtig; rechter, Rechte; richtig, tüchtig
დაფენა-ჲ	Decken, Ausbreiten
გარდაფენა-ჲ	überdecken, Verbreiten
მიფენა-ჲ	Ausbreiten, Hinwerfen
განფენა-ჲ	Ausbreiten, Sichverbreiten, Vermischen
მიმოგანფენა-ჲ	Verbreitung
მოფენა-ჲ	Ausbreiten, Belegen
მიმოფენა-ჲ	Verbreiten (einer Nachricht)
რქენა-ჲ	Stoßen mit den Hörnern
ჩენა-ჲ	Zeigen, Dafürhalten, Erscheinen
განჩენა-ჲ	Festlegen, Festsetzen
უკურჩენა-ჲ	Gewinn, Profit
აღჩენა-ჲ	Erscheinung, Erscheinen, Zeigen; Dafürhalten, Bestimmen, Einsetzen
კცენა-ჲ	Niesen
შეძენა-ჲ	Hinzufügung, Mehrung; Hinzufügung, Mehrung
ღუწენა-ჲ	Fürsorge
ღრჭენა-ჲ	Knirschen
ღჭენა-ჲ	Knirschen; Knirschen
ლხენა-ჲ	Wohlbefinden, Erleichterung
მარცხენა-ჲ	Linke; Linke
გზავნა-ჲ	Reisen
გაგზავნა-ჲ	Schicken, Senden
წარმოგზავნა-ჲ	Herschicken
წარგზავნა-ჲ	Wegschicken
დევნა-ჲ	Folgen, Verfolgen, Vertreiben, Begleiten
მიდევნა-ჲ	Folgen
განდევნა-ჲ	Vertreiben, Verjagen
წარდევნა-ჲ	Vertreiben, Verjagen, Verfolgen
დალევნა-ჲ	Aufhören, Beenden, Sterben
წარევნა-ჲ	Phantasieren, unklares Reden
შერევნა-ჲ	Vermischen, Vereinen, Durcheinanderbringen; Spaltung, Häresie; Vermischen, Vereinen, Durcheinanderbringen; Spaltung, Häresie
დატევნა-ჲ	Erdulden, Ertragen, Annehmen
წუევნა-ჲ	Rufen, Einladen; Rufen, Einladen
დაწუევნა-ჲ	Einladen
ხუევნა-ჲ	Umarmung
წევნა-ჲ	Einholen, Erreichen, Widerfahren, Hilfe
გაწევნა-ჲ	Erreichen, Erlangen
შეწევნა-ჲ	Hilfe, Unterstützung
თანაშეწევნა-ჲ	Hilfe
მიწევნა-ჲ	Hingehen, Erreichen; Verstehen
ზედამიწევნა-ჲ	Verständnis, Weisheit
მოწევნა-ჲ	Kommen, Erreichen, Widerfahren
წარწევნა-ჲ	Einholen, Hingelangen
ვერწევნა-ჲ	Nichterreichenkönnen
აღწევნა-ჲ	Emporgelangen, Hinaufkommen
პოვნა-ჲ	Finden; Existieren, Sein
კაც-პოვნა-ჲ	Erscheinen / Aussehen als Mensch
ვერპოვნა-ჲ	Nichtfindenkönnen
ყოვნა-ჲ	Zögern, Verspäten
ძოვნა-ჲ	Weiden
წოვნა-ჲ	Saugen
აზნა-ჲ	edel, vornehm, adlig, frei
ვინა-ჲ	woher, woher stammend, wie; woher, woher stammend, wie
რკინა-ჲ	Eisen, Eisengerät
ფლისკინა-ჲ	Sumpf, sumpfig
მინა-ჲ	Glas, Kristall
პლანინა-ჲ	Bergweide, Alpe
პინა-ჲ	Muschel
შინა-ჲ	innerer, häuslich, Haus-
მასშინა-ჲ	damalig
ამისშინა-ჲ	darin befindlich
ქუეყანისშინა-ჲ	irdisch, diesseitig
ქალაქისშინა-ჲ	in der Stadt befindlich
იერუსალჱმსშინა-ჲ	Jerusalemer
წინა-ჲ	früherer, vorderster, bester, künftig
რღუნისწინა-ჲ	vor der Sintflut
ლაკნა-ჲ	Brett, Teller, Schüssel, Schale; Brett, Teller, Schüssel, Schale
ლანკნა-ჲ	Brett, Teller, Schüssel, Schale
აღმოჩხრკნა-ჲ	Herauswühlen, Hervorwühlen
მნა-ჲ	Geldstück (100 Drachmen)
სტამნა-ჲ	Krug; Krug
თარგმნა-ჲ	übersetzen
ზმნა-ჲ	Arbeiten, Machen, Tun; Erfahren, Erkennen, Vorhersehen; Beabsichtigen; Sünde, Zauberei
ჰავისზმნა-ჲ	Zaubern
ქმნა-ჲ	Machen, Tun, Arbeiten
მოშურნე-ქმნა-ჲ	Neid
მიზეზ-ქმნა-ჲ	Vorschützen, Vorgeben
კაცთ-ქმნა-ჲ	Erschaffung als Menschen
მატლთსაჭმელ-ქმნა-ჲ	Wurmfutter werden
საკიცხელ-ქმნა-ჲ	Lächerlichmachen
სრულ-ქმნა-ჲ	Beenden, Vollenden
უჟამო-ქმნა-ჲ	Unzeit, Ungelegenheit
უბიწო-ქმნა-ჲ	Reinigen, Läutern
იავარ-ქმნა-ჲ	Rauben, Plündern
პირ-ქმნა-ჲ	Machen, Tun
ლოღარიას-ქმნა-ჲ	Rechenschaftslegung, Abrechnung
დასაწყის-ქმნა-ჲ	Beginnen
თანახატ-ქმნა-ჲ	ähneln
კაც-ქმნა-ჲ	Menschwerdung
შექმნა-ჲ	Machen, Werden
მოქმნა-ჲ	Bearbeiten
ჯმნა-ჲ	Entfernen, Verabschiedung
კონა-ჲ	Garbe, Bündel
მონა-ჲ	Sklave, Diener, Knecht
მამონა-ჲ	Mammon
თანამონა-ჲ	Mitbediensteter
უმოლხინესონა-ჲ	äußerste Besserung
წონა-ჲ	Senken, Neigen
განწონა-ჲ	Einspießen, Einbohren
აღწონა-ჲ	Abwägen, Erwägen, Berücksichtigen
ისარნა-ჲ	Becken, Trog
წმასნა-ჲ	Lüge, Klatsch, Verleumdung
შეწმასნა-ჲ	Einflechten, Hineinschmieren
ჴსნა-ჲ	Rettung, Erlösung, Befreiung
პირის-ჴსნა-ჲ	Essen
დაჴსნა-ჲ	Auflösen, Befreien, Durcheinandergeraten, Zerstören, Lahmwerden
განჴსნა-ჲ	Erklären
გამოჴსნა-ჲ	Erlösung, Befreiung, Hilfe; Freiheit
გარდამოჴსნა-ჲ	Abnehmen, Herabnehmen
აღჴსნა-ჲ	Erklären, Erklärung
მოგუნა-ჲ	Verführung, Verleitung
დამოგუნა-ჲ	Betrügen, Unterwerfen, Fürsichgewinnen
ფსალმუნა-ჲ	Psalm
ფუნა-ჲ	Mist, Kot
რღუნა-ჲ	Sintflut
წყლითრღუნა-ჲ	Sintflut, Hochwasser
რყუნა-ჲ	Verderben
განრყუნა-ჲ	Verderben, Verheeren
მორყუნა-ჲ	Verwüsten
ჩურჩუნა-ჲ	Flüstern, Gerede; Flüstern, Gerede
ფლაფნა-ჲ	Lispeln, Anstoßen mit der Zunge
ლიქნა-ჲ	Schmeicheln
დამყნა-ჲ	Aufpfropfen
დაშნა-ჲ	Dolch
ხუეშნა-ჲ	Flehen, Gebet; Bote; Flehen, Gebet; Bote
ლოშნა-ჲ	Lecken
ჩურჩნა-ჲ	Flüstern, Gerede
კოცნა-ჲ	Küssen, Kuß
ძნა-ჲ	Garbe, Bündel
გლორწნა-ჲ	Verputzen
განხრწნა-ჲ	Verderben
განჴრწნა-ჲ	Verderben
ღულარჭნა-ჲ	Winden, Krümmen
სეხნა-ჲ	wesensgleich, namensgleich
წიხნა-ჲ	Fußtritt
ცოხნა-ჲ	Wiederkäuen
დაცოხნა-ჲ	Wiederkäuen
ქენჯნა-ჲ	Quälen, Schlagen
დაქენჯნა-ჲ	Quälen, Peinigen
მხალოა-ჲ	Speise aus grünem Gemüse
ქსოა-ჲ	Weben
სტოა-ჲ	Kirchenflügel, Kirchenanbau
გამოთხოა-ჲ	Bitten; Bitten
პურისთხოა-ჲ	Essenbetteln
სპა-ჲ	Truppen, Soldaten
გოსპა-ჲ	Kleidungsstück mit Fransen; Kleidungsstück mit Fransen
რა-ჲ	was; sobald, wenn, als; jeden; etwas
არა-ჲ	nichts
აგარა-ჲ	Ackerland, Feld, Dorf, Erholungsstätte; Ackerland, Feld, Dorf, Erholungsstätte
იადგარა-ჲ	Hymnensammlung; Gedenkschrift; Hymnensammlung; Gedenkschrift
მდიდარა-ჲ	reiche Frau
ჩასდუდარა-ჲ	Kuppel (?)
კამარა-ჲ	Bogen
ტომარა-ჲ	Beutel, Sack; Handschriftenkodex; Handschriftenkodex
არარა-ჲ	nichts
ვერარა-ჲ	nichts
ნურარა-ჲ	nichts
პატარა-ჲ	Stück, Bruchstück
აღარა-ჲ	nichts mehr; nichts mehr
ვეღარა-ჲ	nichts mehr; nichts mehr
არღარა-ჲ	nichts mehr
ვერღარა-ჲ	nichts mehr
ავშარა-ჲ	Zaum, Zügel
არცარა-ჲ	nichts
აჭარა-ჲ	Atschara (Provinz Georgiens)
სალამანდრა-ჲ	Salamander
ბერა-ჲ	Mönchlein
ბგერა-ჲ	Lärm
ძგერა-ჲ	Schlagen, Stoßen, Lärm
ვერა-ჲ	nichts
მზერა-ჲ	Auflauern, Beobachten, Fürsorge
დიფთერა-ჲ	auf Pergament geschriebenes Buch
განგუმერა-ჲ	Verwunden; Töten
ჟერა-ჲ	Klingen, Tönen
მღერა-ჲ	Spiele, Singen, Amüsement, Verspotten
სიმღერა-ჲ	Spiel, Gesang, Spott
ძერა-ჲ	Geier; Geier
წერა-ჲ	Schreiben
ძეგლის-წერა-ჲ	Festlegung, Beschluß, Gedenken
სოფლის-წერა-ჲ	Volkszählung
დაწერა-ჲ	Schreiben
გარდაწერა-ჲ	Abschreiben
შთაწერა-ჲ	Eintragen, Erfassen
მიწერა-ჲ	Hinschreiben
გამოწერა-ჲ	Schreiben, Darstellen
შემოწერა-ჲ	Umgrenzen, Eingrenzen
გარეშემოწერა-ჲ	Umgrenzen, Eingrenzen
წარწერა-ჲ	Unterschrift
ჴელისწერა-ჲ	Geschriebenes, Inschrift, Festlegung
წიგნისწერა-ჲ	Schreiben
აღწერა-ჲ	Schreiben, Abschreiben, Aufzeichnung
ლავრა-ჲ	Laura, Eremitenkloster
პალავრა-ჲ	altes Kloster
სტავრა-ჲ	ein kostbarer Stoff, Brokat; ein kostbarer Stoff, Brokat
ერჳთრა-ჲ	rot
მზირა-ჲ	Inachtnahme, Sichinachtnehmen, Sichhüten
ამირა-ჲ	Verwalter, Leiter
სირა-ჲ	Flechtmatte
მცირა-ჲ	sehr gering
ვაჰანაკრა-ჲ	Seeschildkröte
დორა-ჲ	Flüssigkeitsmaß (halber Krug); Flüssigkeitsmaß (halber Krug)
ქუთორა-ჲ	Kugelaufsatz auf einer Säule; Kugelaufsatz auf einer Säule
ანაფორა-ჲ	Bericht, Bitte; großes Weihbrot
მანდრაღორა-ჲ	Alraune; Alraune
სისრა-ჲ	Werfen, Schießen
ნატრა-ჲ	Wunsch, Sehnen
მეტრა-ჲ	Maß
პეტრა-ჲ	Fels
ლიტრა-ჲ	Litra (Maß)
მიტრა-ჲ	Mitra, Bischofsmütze
სკიპტრა-ჲ	Zepter
კჳლისტრა-ჲ	Hippodrom, Pferderennplatz
თერისტრა-ჲ	Kleidung
მიგურა-ჲ	Hinbringen, Hinführen
მოგურა-ჲ	Herführen, Herbringen, überreichen
დურა-ჲ	Umhang
ნურა-ჲ	nichts
პურა-ჲ	kleines Brot
აჟურა-ჲ	Silber
დასურა-ჲ	Besudeln, Beschmutzen
დაღურა-ჲ	Vergießen, Verschütten
განფხურა-ჲ	Herausreißen, Vernichten
მოფხურა-ჲ	Abreißen, Wegreißen
აღმოფხურა-ჲ	Herausreißen, Ausgraben, Entwurzeln
აღფხურა-ჲ	Abreißen, Herausreißen, Ausgraben, Vernichten
აფრა-ჲ	Segel
ზაფრა-ჲ	Kummer, Leid
ყრა-ჲ	Schütteln, Rütteln
გაყრა-ჲ	Wegwerfen, Vertreiben, Ausstrecken, Ausbreiten
დაყრა-ჲ	Hinwerfen, Niederwerfen
გარდაყრა-ჲ	Wegwerfen, Aufschlagen Buch), Ausschütteln (Bett)
შთაყრა-ჲ	Hineinwerfen
შეყრა-ჲ	Hineinwerfen
მიყრა-ჲ	Ausbreiten, Ausstrecken, Aufeinanderwerfen
განყრა-ჲ	Wegwerfen, Vertreiben, Ausstrecken, Ausbreiten
მოყრა-ჲ	Herwerfen, Entfernen
შემოყრა-ჲ	Sammeln, Anhäufen
უკუყრა-ჲ	Hinauswerfen
აღყრა-ჲ	Entfernen, Trennen
ცრა-ჲ	Sieben, Seihen
აღცრა-ჲ	Sieben, Seihen
ჭრა-ჲ	Schneiden, Abtrennen
დაჭრა-ჲ	Schneiden, Verwundung
შთაჭრა-ჲ	Hineinfallen
შეჭრა-ჲ	Abschneiden, Einschneiden
განჭრა-ჲ	Umbringen, Vertreiben
მოჭრა-ჲ	Abschneiden
აღჭრა-ჲ	Zerreißen, Zerfetzen, Verwüsten, Verheeren, Ansichreißen
შეხრა-ჲ	leichte Bewegung, leichtes Schwingen
თხრა-ჲ	Graben
ჴნარცჳს-თხრა-ჲ	Aushebung einer Grube
დათხრა-ჲ	Graben, Aufgraben, Aufwühlen, Ausgraben, Einschlagen, Einbrechen
შეთხრა-ჲ	Einschlagen, Zertrümmern
განთხრა-ჲ	Ausgraben, Ausreißen; Einschlagen, Einrücken
მოთხრა-ჲ	Ausgrabung
აღმოთხრა-ჲ	Ausgraben, Herausreißen
გუერდისთხრა-ჲ	Zerstören der Seitenwand
ოხრა-ჲ	Stöhnen, Seufzen, Schreien, Erregung
ცხრა-ჲ	neun
შაჰრა-ჲ	Landstraße
ანკჳრა-ჲ	Anker
პრასა-ჲ	Lauch
სასა-ჲ	Gaumen
გლესა-ჲ	Bestreichen, Färben
კუნესა-ჲ	Stöhnen, Seufzen
გულისკუნესა-ჲ	Trauer
დრესა-ჲ	Bestreichen, Reiben
ვარდობისა-ჲ	Monatsname (etwa Mai)
ქუელთობისა-ჲ	Monatsname (etwa Juli)
ნიგუზისა-ჲ	Nußschale
ქართველ-ი დასავალისა-ჲ	Bewohner der Pyrenäenhalbinsel, "Iberer des Westens"
დიდისსასყიდლისა-ჲ	teuer, kostbar
მფრინველისა-ჲ	Geflügelfleisch
მოქცევ-ი შჳდეულისა-ჲ	Woche
აღტჳრთვა-ჲ მუცლისა-ჲ	Schwangerschaft
შემამკობელ-ი სძლისა-ჲ	Trauzeuge
შჳდწლისა-ჲ	siebenjährig
სამწლისა-ჲ	drei Jahre alt, dreijährig
ტირისკნისა-ჲ	Monatsname (etwa November-Dezember)
სიმკაცრე-ჲ ლექსისა-ჲ	Grobheit, grobes Wort
მეფისა-ჲ	Königin
მშჳლდ-ი ცისა-ჲ	Regenbogen
თჳთმიწისა-ჲ	Eingeborener
კოსა-ჲ	bartloser junger Mann; bartloser junger Mann
შემოსა-ჲ	Umhüllen, Kleiden, Anziehen, Einbinden
ყნოსა-ჲ	Riechen, Schnuppern
მწყსა-ჲ	Betreuen, Hüten
დამწყსა-ჲ	Hüten, Versorgen, Schützen
სამთჳსა-ჲ	drei Monate alt
კოვზ-ი ზღჳსა-ჲ	Meeresschnecke
საქანელ-ი სიტყჳსა-ჲ	Redekunst
მრავალმოქცევობა-ჲ სიტყჳსა-ჲ	Redekunst, Rhetorik
კატა-ჲ	Katze
ჭურეტა-ჲ	Blicken
განჴურეტა-ჲ	Durchbohren
დაშრეტა-ჲ	Auslöschen, Verlöschen, Eindämmen, Zügeln
ხუეტა-ჲ	Schaben, Kratzen, Abschürfen
მოხუეტა-ჲ	Reinigen
ფსალტა-ჲ	Psalter
ცოტა-ჲ	wenig, gering
თავ-ცოტა-ჲ	kleinköpfig
თუალცოტა-ჲ	kleinäugig
ცოცოტა-ჲ	ein ganz klein wenig
ქარტა-ჲ	Pergament
სხუერტა-ჲ	Zerkrümeln, Zerquetschen
წერტა-ჲ	Stechen, Peinigen, Quälen
დაწერტა-ჲ	Stechen
შურტა-ჲ	Türhüter, Wächter
კუტა-ჲ	Krüppel
ტუტა-ჲ	Maulbeerbaum
პაშტა-ჲ	wenig, gering
ტახტა-ჲ	Teil des Sattels
მსთუა-ჲ	zeitig, früh
ლაკუა-ჲ	Becken, Brunnen
ალელუა-ჲ	Halleluja
ექუა-ჲ	Keuchen, Flattern
ზღუა-ჲ	Meer; Westen
სეტყუა-ჲ	Hagel
სიტყუა-ჲ	Wort, Sprechen, Rede, Nachricht, Rechenschaftslegung, Sprechweise, Satz, Antwort, Erlaubnis, Anklage, Angelegenheit
ცუდსიტყუა-ჲ	Lüge, Falschheit
ერთსიტყუა-ჲ	gleichgesinnt, einverstanden
წინაგანსიტყუა-ჲ	Streiten
ოქროსიტყუა-ჲ	Redner, Orator
მრავლისსიტყუა-ჲ	Schwätzerei
გულისსიტყუა-ჲ	Wunsch, Absicht, Gedanke, Kummer
ძჳრისსიტყუა-ჲ	Blasphemie
ნერწყუა-ჲ	Speichel, Spucke
შუა-ჲ	Reißzahn; Kreuz, Taille; Verschluß oder Schmuck am Zaumzeug
დღეშუა-ჲ	Mittag
ეჩუა-ჲ	kleines Dachsbeil
ხაჭუა-ჲ	Quark
ეჭუა-ჲ	Zweifel, Argwohn
სხუა-ჲ	anderer, zweiter, übriger
რიცხუა-ჲ	Zählen, Rechnung
დაკაფა-ჲ	Fällen, Roden
წრაფა-ჲ	Eilen, Hasten, Erstreben
სწრაფა-ჲ	Wunsch, Streben
ტაფა-ჲ	Pfanne; Pfanne
მუქაფა-ჲ	Gegenleistung, Vergeltung
ყეფა-ჲ	Gebell
ყოფა-ჲ	Tun, Machen, Sein
ერთნება-ყოფა-ჲ	Einmütigkeit
