			აბულაძე
რაჲთა	CONJ	რაჲთა	
განვჰჴსნნე	VERB	ჴსენ	განჴსნა
საბელნი	NOUN	საბელ-	
ჴამლთა	NOUN	ჴამლ-	
მისთანი.	PRON	მის-	
Jo.1-28		Jo.1-28	
ესე	PRON	ესე	
ბეთაბრას	NOUN	ბეთაბრა	
იყო,	VERB	ყოფნა	ყოფა
წიაღ-იორდანესა,	NOUN	წიაღ-იორდანე	
სადა-იგი	ADV	სადა-იგი	
იყო	VERB	ყოფნა	ყოფა
იოვანე	NOUN	იოვანე	
და	CONJ	და	
ნათელ-სცემდა.	VERB	ნათელ-ცემა	ნათელ-ცემა
Jo.1-29		Jo.1-29	
ხვალისაგან	NOUN	ხვალე	
იხილა	VERB	ხილ	ხილვა
იოვანე	NOUN	იოვანე	
იესუ,	NOUN	იესუ	
მომავალი	NOUN	მომავალ-	
მისა,	PRON	იგი	
და	CONJ	და	
თქუა:	VERB	თქუ	თქუმა
აჰა,	PRT	აჰა,	
ტარიგი	NOUN	ტარიგ-	
ღმრთისაჲ,	NOUN	ღმერთ-	
რომელმან	PRON	რომელ-	
აიხუნეს	VERB	ხუ	ახუნვა
ცოდვანი	NOUN	ცოდვა	
სოფლისანი.	NOUN	სოფელ-	
Jo.1-30		Jo.1-30	
ესე	PRON	ესე	
არს,	VERB	არ-ს	ყოფა
რომლისათჳს-იგი	PRON	რომელ-იგი	
ვთქუ:	VERB	თქუ	თქუმა
შემდგომად	NOUN	შემდგომ-	
ჩემსა	PRON	ჩემ	
მოვალს	VERB	ვალ	მოსლვა
კაცი,	NOUN	კაც-	
რომელი	PRON	რომელ-	
პირველ	NOUN	პირველ-	
ჩემსა	PRON	ჩემ	
იყოს,	VERB	ყოფნა	ყოფა
რამეთუ	CONJ	რამეთუ	
უპირატეს	NOUN	უპირატეს-	
ჩემსა	PRON	ჩემ	
არს.	VERB	არ-ს	ყოფა
Jo.1-31		Jo.1-31	
და	CONJ	და	
მე	PRON	მე	
არა	PRT	არა	
ვიცოდე	VERB	ც	ცოდნა
იგი,	PRON	იგი,	
არამედ	CONJ	არამედ	
რაჲთა	CONJ	რაჲთა	
გამოეცხადოს	VERB	ცხად	გამოცხადება
ისრაჱლსა,	NOUN	ისრაჱლ-	
ამისთჳს	PRON	ესე	
მოვედ	VERB	ვედ	მოსლვა
მე	PRON	მე	
წყლითა	NOUN	წყალ-	
ნათლის-ცემად.	NOUN	ნათლის-ცემა	
Jo.1-32		Jo.1-32	
და	CONJ	და	
წამა	VERB	წამ	წამება
იოვანე	NOUN	იოვანე	
და	CONJ	და	
თქუა,	VERB	თქუ	თქუმა
რამეთუ:	CONJ	რამეთუ:	
ვიხილე	VERB	ხილ	ხილვა
სული	NOUN	სულ-	
ღმრთისაჲ,	NOUN	ღმერთ-	
ვითარცა	CONJ	ვითარცა	
ტრედი,	NOUN	ტრედ-	
გარდამომავალი	NOUN	გარდამომავალ-	
ზეცით,	NOUN	ზეცა	
და	CONJ	და	
დაადგრა	VERB	დგერ	დადგრომა
მას	PRON	იგი	
ზედა.	PRT	ზედა.	
Jo.1-33		Jo.1-33	
და	CONJ	და	
მე	PRON	მე	
არა	PRT	არა	
ვიცოდე	VERB	ც	ცოდნა
იგი,	PRON	იგი,	
არამედ	CONJ	არამედ	
რომელმან	PRON	რომელ-	
მომავლინა	VERB	ვლინ	მოვლინება
მე	PRON	მე	
ნათლის-ცემად	NOUN	ნათლის-ცემა	
წყლითა,	NOUN	წყალ-	
მან	PRON	იგი	
მრქუა	VERB	რქუ	რქუმა
მე:	PRON	მე:	
რომელსა	PRON	რომელ-	
ზედა	PRT	ზედა	
იხილო	VERB	ხილ	ხილვა
სული	NOUN	სულ-	
გადრდამომავალი	ADJ	გადრდამომავალ-	
და	CONJ	და	
დადგრომილი	ADJ	დადგრომილ-	
მის	PRON	იგი	
ზედა,	PRT	ზედა,	
იგი	PRON	იგი	
არს,	VERB	არ-ს	ყოფა
რომელმან	PRON	რომელ-	
ნათელ-გცეს	VERB	ნათელ-ცემა	ნათელ-ცემა
სულითა	NOUN	სულ-	
წმიდითა.	ADJ	წმიდა	
Jo.1-34		Jo.1-34	
და	CONJ	და	
მე	PRON	მე	
ვიხილე	VERB	ხილ	ხილვა
და	CONJ	და	
ვწამე,	VERB	წამ	წამება
რამეთუ	CONJ	რამეთუ	
ესე	PRON	ესე	
არს	VERB	არ-ს	ყოფა
ძჱ	NOUN	ძე	
ღმრთისაჲ.	NOUN	ღმერთ-	
Jo.1-35		Jo.1-35	
ხვალისა	NOUN	ხვალ-	
დღე	NOUN	დღე	
დგა	VERB	დეგ	დგომა
კუალად	ADV	კუალად	
იოვანე	NOUN	იოვანე	
და	CONJ	და	
მოწაფეთა	NOUN	მოწაფე	
მისთაგანნი	PRON	მისთაგან-	
ორნი.	NUM	ორ-	
Jo.1-36		Jo.1-36	
და	CONJ	და	
მიჰხედა	VERB	ხედ	მიხედვა
იესუს,	NOUN	იესუ	
ვიდოდა	VERB	ვიდ	სლვა
რაჲ	PRT	რაჲ	
იგი,	PRON	იგი,	
და	CONJ	და	
თქუა:	VERB	თქუ	თქუმა
აჰა,	PRT	აჰა,	
ტარიგი	NOUN	ტარიგ-	
ღმრთისაჲ!	NOUN	ღმერთ-	
Jo.1-37		Jo.1-37	
და	CONJ	და	
ესმა	VERB	სემ	სმენა
მისი	PRON	იგი	
ორთა	NUM	ორ-	
მათ	PRON	მათ	
მოწაფეთა,	NOUN	მოწაფე	
იტყოდა	VERB	ტყუ	სიტყუა
რაჲ	PRT	რაჲ	
ამას,	PRON	ესე	
და	CONJ	და	
მისდევდეს	VERB	დევ	მიდევნება
იესუს.	NOUN	იესუ	
Jo.1-38		Jo.1-38	
მოექცა	VERB	ქეც	მოქცევა
იესუ	NOUN	იესუ	
და	CONJ	და	
იხილნა	VERB	ხილ	ხილვა
იგინი,	PRON	იგი	
მი-რაჲ-სდევდეს	VERB	დევ	მიდევნება
მას,	PRON	იგი	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ	
რასა	PRON	რა	
ეძიებთ?	VERB	ძი	ძიება
--		--	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
ჰრქუეს	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რაბი	NOUN	რაბი	
(რომელი	PRON	(რომელ-	
ითარგმანების	VERB	თარგმან	თარგმანება
მოძღუარ),	NOUN	მოძღუარ-	
სადა	ADV	სადა	
იყოფი?	VERB	ყოფნა	ყოფა
Jo.1-39		Jo.1-39	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
მოვედით	VERB	ვედ	მოსლვა
და	CONJ	და	
იხილეთ!	VERB	ხილ	ხილვა
--		--	
და	CONJ	და	
მივიდეს	VERB	ვიდ	მისლვა
და	CONJ	და	
იხილეს,	VERB	ხილ	ხილვა
სადა	ADV	სადა	
იყოფოდა,	VERB	ყოფ	ყოფა
და	CONJ	და	
მის	PRON	იგი	
თანა	PRT	თანა	
დაადგრეს	VERB	დგერ	დადგრომა
მას	PRON	იგი	
დღესა	NOUN	დღე	
შინა.	PRT	შინა.	
ჟამი	NOUN	ჟამ-	
იყო	VERB	ყოფნა	ყოფა
ვითარ	ADV	ვითარ	
მეათე.	NUM	მეათე.	
Jo.1-40		Jo.1-40	
იყო	VERB	ყოფნა	ყოფა
ანდრეა,	NOUN	ანდრეა	
ძმაჲ	NOUN	ძმა	
სიმონ-პეტრესი,	NOUN	სიმონ-პეტრე	
ერთი	NUM	ერთ-	
ორთავანი,	NUM	ორთავან-	
რომელთა	PRON	რომელ-	
ესმა	VERB	სემ	სმენა
იოვანესგან,	NOUN	იოვანე	
და	CONJ	და	
მისდევდეს	VERB	დევ	მიდევნება
მას.	PRON	იგი	
Jo.1-41		Jo.1-41	
პოვა	VERB	პოვ	პოვნა
ამან	PRON	ესე	
პირველად	NOUN	პირველ-	
ძმაჲ	NOUN	ძმა	
თჳსი	PRON	თჳს-	
სიმონ	NOUN	სიმონ-	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
ვპოვეთ	VERB	პოვ	პოვნა
მესია,	NOUN	მესია	
რომელ	PRON	რომელ-	
არს	VERB	არ-ს	ყოფა
თარგმანებით	NOUN	თარგმანება	
ქრისტჱ.	NOUN	ქრისტე	
Jo.1-42		Jo.1-42	
ამან	PRON	ესე	
მოიყვანა	VERB	ყვან	მოყვანება
იგი	PRON	იგი	
იესუჲსა.	NOUN	იესუ	
მიხედა	VERB	ხედ	მიხედვა
მას	PRON	იგი	
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
შენ	PRON	შენ	
ხარ	VERB	ხარ	ყოფა
სიმონ,	NOUN	სიმონ-	
ძჱ	NOUN	ძე	
იოანაჲსი,	NOUN	იოანა	
შენ	PRON	შენ	
გეწოდოს	VERB	წოდ	წოდება
კეფა,	NOUN	კეფა	
რომელი	PRON	რომელ-	
ითარგმანების	VERB	თარგმან	თარგმანება
კლდე.	NOUN	კლდე	
Jo.1-43		Jo.1-43	
ხვალისაგან	NOUN	ხვალ-	
უნდა	VERB	ნდ	ნდომა
იესუს	NOUN	იესუ	
განსლვად	NOUN	განსლვა	
გალილეად	NOUN	გალილეა	
და	CONJ	და	
პოვა	VERB	პოვ	პოვნა
ფილიპე	NOUN	ფილიპე	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
იესუ:	NOUN	იესუ:	
მომდევდი	VERB	დევ	მოდევნება
მე!	PRON	მე!	
Jo.1-44		Jo.1-44	
ხოლო	CONJ	ხოლო	
იყო	VERB	ყოფნა	ყოფა
ფილიპე	NOUN	ფილიპე	
ბეთსაიდაჲთ,	NOUN	ბეთსაიდა	
ქალაქისაგან	NOUN	ქალაქ-	
ანდრეაჲსა	NOUN	ანდრეა	
და	CONJ	და	
პეტრესა.	NOUN	პეტრე	
Jo.1-45		Jo.1-45	
პოვა	VERB	პოვ	პოვნა
ფილიპე	NOUN	ფილიპე	
ნათანაელ	NOUN	ნათანაელ-	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რომელი-იგი	PRON	რომელ-იგი	
დაწერა	VERB	წერ	დაწერა
მოსე	NOUN	მოსე	
შჯულსა	NOUN	შჯულ-	
და	CONJ	და	
წინაწარმეტყუელთა,	NOUN	წინაწარმეტყუელ-	
ვპოეთ	VERB	პო	პოვნა
იესუ,	NOUN	იესუ	
ძჱ	NOUN	ძე	
იოსებისი,	NOUN	იოსებ-	
ნაზარეთით.	NOUN	ნაზარეთ-	
Jo.1-46		Jo.1-46	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
ნათანაელ:	NOUN	ნათანაელ-	
ნაზარეთით	NOUN	ნაზარეთ-	
შესაძლებელ	NOUN	შესაძლებელ-	
არსა	VERB	არ-ს	ყოფა
კეთილისა	NOUN	კეთილ-	
რაჲსამე	PRON	რაჲსამე	
ყოფად?	NOUN	ყოფა	
--		--	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
ფილიპე:	NOUN	ფილიპე:	
მოვედ	VERB	ვედ	მოსლვა
და	CONJ	და	
იხილე!	VERB	ხილ	ხილვა
Jo.1-47		Jo.1-47	
იხილა	VERB	ხილ	ხილვა
რაჲ	PRT	რაჲ	
იესუ	NOUN	იესუ	
ნათანაელ,	NOUN	ნათანაელ-	
მომავალი	NOUN	მომავალ-	
მისა,	PRON	იგი	
და	CONJ	და	
თქუა	VERB	თქუ	თქუმა
მისთჳს:	PRON	იგი	
აჰა,	PRT	აჰა,	
ჭეშმარიტად	NOUN	ჭეშმარიტ-	
ისრაიტელი,	NOUN	ისრაიტელ-	
რომლისა	PRON	რომელ-	
თანა	PRT	თანა	
ზაკუვაჲ	NOUN	ზაკუვა	
არა	PRT	არა	
არს.	VERB	არ-ს	ყოფა
Jo.1-48		Jo.1-48	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
ნათანაელ:	NOUN	ნათანაელ-	
ვინაჲ	PRON	ვინ	
მიცი	VERB	ც	ცოდნა
მე?	PRON	მე?	
--		--	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
პირველ	NOUN	პირველ-	
ფილიპეს	NOUN	ფილიპე	
ჴმობადმდე	NOUN	ჴმობა	
შენდა,	PRON	შენ	
იყავ	VERB	ყავ	ყოფა
რაჲ	PRT	რა	
ლეღუსა	NOUN	ლეღუ	
ქუეშე,	ADV	ქუეშე,	
გიხილე	VERB	ხილ	ხილვა
შენ.	PRON	შენ.	
Jo.1-49		Jo.1-49	
მიუგო	VERB	გ	მიგება
მას	PRON	იგი	
ნათანაელ	NOUN	ნათანაელ-	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
რაბი,	NOUN	რაბი,	
შენ	PRON	შენ	
ხარ	VERB	ხარ	ყოფა
ძჱ	NOUN	ძე	
ღმრთისაჲ,	NOUN	ღმერთ-	
შენ	PRON	შენ	
ხარ	VERB	ხარ	ყოფა
მეუფჱ	NOUN	მეუფე	
ისრაჱლისაჲ!	NOUN	ისრაჱლ-	
Jo.1-50		Jo.1-50	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას,	PRON	იგი	
რამეთუ:	CONJ	რამეთუ:	
გარქუ	VERB	რქუ	რქუმა
შენ,	PRON	შენ,	
ვითარმედ:	CONJ	ვითარმედ:	
გიხილე	VERB	ხილ	ხილვა
შენ	PRON	შენ	
ლეღუსა	NOUN	ლეღუ	
ქუეშე,	ADV	ქუეშე,	
და	CONJ	და	
გრწამს.	VERB	რწამ	რწმენა
უფროჲსი	NOUN	უფროჲს-	
ამათსა	PRON	ესე	
იხილო.	VERB	ხილ	ხილვა
Jo.1-51		Jo.1-51	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
ამენ,	ADV	ამენ,	
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ:	PRON	თქუენ:	
ამიერითგან	ADV	ამიერითგან	
იხილნეთ	VERB	ხილ	ხილვა
ცანი	NOUN	ცა	
განხუმულნი	ADJ	განხუმულ-	
და	CONJ	და	
ანგელოზნი	NOUN	ანგელოზ-	
ღმრთისანი,	NOUN	ღმერთ-	
აღმავალნი	NOUN	აღმავალ-	
და	CONJ	და	
გარდამომავალნი	NOUN	გარდამომავალ-	
ძესა	NOUN	ძე	
ზედა	PRT	ზედა	
კაცისასა.	NOUN	კაც-	
Jo.2-1		Jo.2-1	
და	CONJ	და	
მესამესა	NUM	მესამე	
დღესა	NOUN	დღე	
ქორწილი	NOUN	ქორწილ-	
იყო	VERB	ყოფნა	ყოფა
კანას	NOUN	კანა	
გალილეჲსასა,	NOUN	გალილეა	
და	CONJ	და	
მუნ	ADV	მუნ	
იყო	VERB	ყოფნა	ყოფა
დედაჲ	NOUN	დედა	
იესუჲსი.	NOUN	იესუ	
Jo.2-2		Jo.2-2	
მიჰხადეს	VERB	ხად	მიხადვა
იესუს	NOUN	იესუ	
და	CONJ	და	
მოწაფეთა	NOUN	მოწაფე	
მისთა	PRON	მის-	
ქორწილსა	NOUN	ქორწილ-	
მას.	PRON	იგი	
Jo.2-3		Jo.2-3	
და	CONJ	და	
ვითარ	ADV	ვითარ	
მოაკლდა	VERB	კლ	მოკლება
ღჳნოჲ,	NOUN	ღჳნო	
ჰრქუა	VERB	რქუ	რქუმა
იესუს	NOUN	იესუ	
დედამან	NOUN	დედა	
მისმან:	PRON	მის-	
ღჳნოჲ	NOUN	ღჳნო	
არა	PRT	არა	
აქუს.	VERB	ქუ	ქუან-
Jo.2-4		Jo.2-4	
ჰრქუა	VERB	რქუ	რქუმა
მას	PRON	იგი	
იესუ:	NOUN	იესუ:	
რაჲ	PRON	რაჲ	
არს	VERB	არ-ს	ყოფა
ჩემდა	PRON	ჩემ	
და	CONJ	და	
შენდა,	PRON	შენ	
დედაკაცო?	NOUN	დედაკაც-	
არღა	PRT	არღა	
მოწევნულ	NOUN	მოწევნულ-	
არს	VERB	არ-ს	ყოფა
ჟამი	NOUN	ჟამ-	
ჩემი.	PRON	ჩემ-	
Jo.2-5		Jo.2-5	
ჰრქუა	VERB	რქუ	რქუმა
დედამან	NOUN	დედა	
მისმან	PRON	მის-	
მსახურთა	NOUN	მსახურ-	
მათ,	PRON	მათ,	
ვითარმედ:	CONJ	ვითარმედ:	
რაჲცა	PRON	რაჲცა	
გრქუას	VERB	რქუ	რქუმა
თქუენ,	PRON	თქუენ,	
ყავთ!	VERB	ყავ	ყოფა
Jo.2-6		Jo.2-6	
იყვნეს	VERB	ყოფნა	ყოფა
მუნ	ADV	მუნ	
სარწყულნი	NOUN	სარწყულ-	
ქვისანი	NOUN	ქვა	
ექუსნი	NUM	ექუს-	
მდგომარენი,	NOUN	მდგომარე	
მსგავსად	NOUN	მსგავს-	
განწმედისა	NOUN	განწმედა	
მის	PRON	იგი	
ჰურიათაჲსა.	NOUN	ჰურია	
რომელთა	PRON	რომელ-	
შთაისხიან	VERB	სხ	შთასხმა
საწყაული	NOUN	საწყაულ-	
ორ-ორი,	NUM	ორ-ორ-	
გინა	PRT	გინა	
სამ-სამი.	NUM	სამ-სამ-	
Jo.2-7		Jo.2-7	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ	PRON	მათ	
იესუ:	NOUN	იესუ:	
აღავსენით	VERB	ვს	აღვსება
სარწყულნი	NOUN	სარწყულ-	
ეგე	PRON	ეგე	
წყლითა!	NOUN	წყალ-	
--		--	
და	CONJ	და	
მათ	PRON	მათ	
აღავსნეს	VERB	ვს	აღვსება
იგინი	PRON	იგი	
პირისპირ.	ADV	პირისპირ.	
Jo.2-8		Jo.2-8	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
აღმოავსეთ	VERB	ვს	აღმოვსება
აწ	ADV	აწ	
და	CONJ	და	
მოართჳთ	VERB	რთუ	მორთუმევა
პურისა	NOUN	პურ-	
უფალსა!	NOUN	უფალ-	
--		--	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
მოართუეს.	VERB	რთუ	მორთუმევა
Jo.2-9		Jo.2-9	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
გემოჲ	NOUN	გემო	
იხილა	VERB	ხილ	ხილვა
პურისა	NOUN	პურ-	
უფალმან	NOUN	უფალ-	
წყალი	NOUN	წყალ-	
იგი,	PRON	იგი,	
რომელი	PRON	რომელ-	
ღჳნო	NOUN	ღჳნო	
იქმნა,	VERB	ქმენ	ქმნა
და	CONJ	და	
არა	PRT	არა	
უწყოდა,	VERB	უწყ	უწყება
ვინაჲ	PRON	ვინა	
იყო,	VERB	ყოფნა	ყოფა
გარნა	PRT	გარნა	
მსახურთა	NOUN	მსახურ-	
მათ	PRON	მათ	
უწყოდეს,	VERB	უწყ	უწყება
რომელთა	PRON	რომელ-	
აღავსნეს	VERB	ვს	აღვსება
წყლითა.	NOUN	წყალ-	
მოუწოდა	VERB	წოდ	მოწოდება
პურისა	NOUN	პურ-	
უფალმან	NOUN	უფალ-	
მან	PRON	იგი	
სიძესა	NOUN	სიძე	
Jo.2-10		Jo.2-10	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
ყოველმან	PRON	ყოველ-	
კაცმან	NOUN	კაც-	
კეთილი	ADJ	კეთილ-	
ღჳნოჲ	NOUN	ღჳნო	
პირველად	NOUN	პირველ-	
წარმოდგის	VERB	დგ	წარმოდგმა
და,	CONJ	და,	
ოდეს	ADV	ოდეს	
დაითრვნიან,	VERB	თრვ	დათრობა
მაშინ	CONJ	მაშინ	
უჯერესიცა.	ADJ	უჯერეს-	
ხოლო	CONJ	ხოლო	
შენ	PRON	შენ	
დაჰმარხე	VERB	მარხ	დამარხვა
ღჳნოჲ	NOUN	ღჳნო	
კეთილი	ADJ	კეთილ-	
აქამომდე.	ADV	აქამომდე.	
Jo.2-11		Jo.2-11	
ესე	PRON	ესე	
ქმნა	VERB	ქმენ	ქმნა
დასაბამად	NOUN	დასაბამ-	
სასწაულთა	NOUN	სასწაულ-	
იესუ	NOUN	იესუ	
კანას	NOUN	კანა	
გალილეაჲსასა	NOUN	გალილეა	
და	CONJ	და	
გამოუცხადა	VERB	ცხად	გამოცხადება
დიდებაჲ	NOUN	დიდება	
თჳსი,	PRON	თჳს-	
და	CONJ	და	
ჰრწმენა	VERB	რწმენ	რწმენა
მისი	PRON	მის-	
მოწაფეთა	NOUN	მოწაფე	
მისთა.	PRON	მის-	
Jo.2-12		Jo.2-12	
ამისა	PRON	ესე	
შემდგომად	NOUN	შემდგომ-	
შთავიდა	VERB	ვიდ	შთასლვა
იესუ	NOUN	იესუ	
კაპერნაუმდ,	NOUN	კაპერნაუმ-	
იგი	PRON	იგი	
და	CONJ	და	
დედაჲ	NOUN	დედა	
მისი	PRON	მის-	
და	CONJ	და	
ძმანი	NOUN	ძმა	
მისნი	PRON	მის-	
და	CONJ	და	
მოწაფენი	NOUN	მოწაფე	
მისნი	PRON	მის-	
მის	PRON	იგი	
თანა,	PRT	თანა,	
და	CONJ	და	
მუნ	ADV	მუნ	
დაადგრა	VERB	დგერ	დადგრომა
არა	PRT	არა	
მრავალ	ADJ	მრავალ	
დღე.	NOUN	დღე.	
Jo.2-13		Jo.2-13	
და	CONJ	და	
მოახლებულ	NOUN	მოახლებულ-	
იყო	VERB	ყოფნა	ყოფა
პასექი	NOUN	პასექ-	
იგი	PRON	იგი	
ჰურიათაჲ,	NOUN	ჰურია	
და	CONJ	და	
აღვიდა	VERB	ვიდ	აღსლვა
იესუ	NOUN	იესუ	
იერუსალჱმდ.	NOUN	იერუსალჱმ-	
Jo.2-14		Jo.2-14	
და	CONJ	და	
პოვნა	VERB	პოვ	პოვნა
ტაძარსა	NOUN	ტაძარ-	
მას	PRON	იგი	
შინა	PRT	შინა	
მოფარდულნი	NOUN	მოფარდულ-	
ზროხათანი	NOUN	ზროხა	
და	CONJ	და	
ცხოვართანი	NOUN	ცხოვარ-	
და	CONJ	და	
ტრედთანი	NOUN	ტრედ-	
და	CONJ	და	
მეკერმენი	NOUN	მეკერმე	
მსხდომარენი.	NOUN	მსხდომარე	
Jo.2-15		Jo.2-15	
და	CONJ	და	
შექმნა	VERB	ქმენ	ქმნა
შოლტი	NOUN	შოლტ-	
საბლისაჲ	NOUN	საბლ-	
და	CONJ	და	
ყოველი	PRON	ყოველ-	
იგი	PRON	იგი	
გამოასხა	VERB	სხ	გამოსხმა
ტაძრით:	NOUN	ტაძარ-	
ზროხაჲ	NOUN	ზროხა	
და	CONJ	და	
ცხოვარი:	NOUN	ცხოვარ-	
და	CONJ	და	
კერმისმსყიდელთა	NOUN	კერმისმსყიდელ-	
მათ	PRON	მათ	
დაუთხია	VERB	თხ	დათხევა
კერმაჲ	NOUN	კერმა	
და	CONJ	და	
ტაბლები	NOUN	ტაბლა	
იგი	PRON	იგი	
დაუმჴუა.	VERB	მჴუ	დამჴუება
Jo.2-16		Jo.2-16	
და	CONJ	და	
ტრედისმოფარდულთა	NOUN	ტრედისმოფარდულ-	
მათ	PRON	მათ	
ჰრქუა:	VERB	რქუ	რქუმა
აღიღეთ	VERB	ღ	აღღება
ესე	PRON	ესე	
ამიერ	ADV	ამიერ	
და	CONJ	და	
ნუ	PRT	ნუ	
ჰყოფთ	VERB	ყოფა	ყოფა
სახლსა	NOUN	სახლ-	
მამისა	NOUN	მამა	
ჩემისასა	PRON	ჩემ-	
სახლ	NOUN	სახლ-	
სავაჭრო.	ADJ	სავაჭრო.	
Jo.2-17		Jo.2-17	
და	CONJ	და	
მოეჴსენა	VERB	ჴსენ	მოჴსენება
მოწაფეთა	NOUN	მოწაფე	
მისთა,	PRON	მის-	
რამეთუ	CONJ	რამეთუ	
წერილ	NOUN	წერილ-	
არს:	VERB	არ-ს	ყოფა
შურმან	NOUN	შურ-	
სახლისა	NOUN	სახლ-	
შენისამან	PRON	შენ-	
შემჭამა	VERB	ჭამ	შეჭმა
მე,	PRON	მე,	
Jo.2-18		Jo.2-18	
მიუგეს	VERB	გ	მიგება
ჰურიათა	NOUN	ჰურია	
და	CONJ	და	
ჰრქუეს	VERB	რქუ	რქუმა
მას:	PRON	იგი	
რასა	PRON	რა	
სასწაულსა	NOUN	სასწაულ-	
მიჩუენებ	VERB	ჩუენ	ჩუენება
ჩუენ,	PRON	ჩუენ,	
რამეთუ	CONJ	რამეთუ	
ამას	PRON	ესე	
იქმ?	VERB	ქმ	ქმნა
Jo.2-19		Jo.2-19	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
დაჰჴსენით	VERB	ჴსენ	დაჴსნა
ტაძარი	NOUN	ტაძარ-	
ესე,	PRON	ესე,	
და	CONJ	და	
მესამესა	NUM	მესამე	
დღესა	NOUN	დღე	
აღვადგინო	VERB	დგინ	აღდგინება
იგი.	PRON	იგი.	
Jo.2-20		Jo.2-20	
ჰრქუეს	VERB	რქუ	რქუმა
მას	PRON	იგი	
ჰურიათა:	NOUN	ჰურია	
ორმეოცდაექუსსა	NUM	ორმეოცდაექუს-	
წელსა	NOUN	წელ-	
აღეშენა	VERB	შენ	აღშენება
ტაძარი	NOUN	ტაძარ-	
ესე,	PRON	ესე,	
და	CONJ	და	
შენ	PRON	შენ	
სამთა	NUM	სამ-	
დღეთა	NOUN	დღე	
აღადგინო	VERB	დგინ	აღდგინება
იგი?	PRON	იგი?	
Jo.2-21		Jo.2-21	
ხოლო	CONJ	ხოლო	
იგი	PRON	იგი	
იტყოდა	VERB	ტყუ	სიტყუა
ტაძრისათჳს	NOUN	ტაძარ-	
გუამისა	NOUN	გუამ-	
თჳსისა.	PRON	თჳს-	
Jo.2-22		Jo.2-22	
და	CONJ	და	
ოდეს	ADV	ოდეს	
აღდგა	VERB	დეგ	აღდგომა
მკუდრეთით,	NOUN	მკუდრეთ-	
მოეჴსენა	VERB	ჴსენ	მოჴსენება
მოწაფეთა	NOUN	მოწაფე	
მისთა,	PRON	მის-	
რამეთუ	CONJ	რამეთუ	
ამისთჳს	PRON	ესე	
იტყოდა,	VERB	ტყუ	სიტყუა
და	CONJ	და	
ჰრწმენა	VERB	რწმენ	რწმენა
წიგნისაჲ	NOUN	წიგნ-	
და	CONJ	და	
სიტყუაჲ	NOUN	სიტყუა	
იგი,	PRON	იგი,	
რომელი	PRON	რომელ-	
ჰრქუა	VERB	რქუ	რქუმა
მათ	PRON	მათ	
იესუ.	NOUN	იესუ.	
Jo.2-23		Jo.2-23	
და	CONJ	და	
ოდეს	ADV	ოდეს	
იყო	VERB	ყოფნა	ყოფა
იგი	PRON	იგი	
იერუსალჱმს	NOUN	იერუსალჱმ-	
პასქასა	NOUN	პასქა	
მას	PRON	იგი	
დღესასწაულსა,	NOUN	დღესასწაულ-	
მრავალთა	ADJ	მრავალ-	
ჰრწმენა	VERB	რწმენ	რწმენა
სახელისა	NOUN	სახელ-	
მისისაჲ,	PRON	მის-	
რამეთუ	CONJ	რამეთუ	
ხედვიდეს	VERB	ხედ	ხედვა
სასწაულთა	NOUN	სასწაულ-	
მისთა,	PRON	მის-	
რომელთა	PRON	რომელ-	
იქმოდა.	VERB	ქმ	ქმნა
Jo.2-24		Jo.2-24	
ხოლო	CONJ	ხოლო	
თჳთ	PRON	თჳთ	
იესუ	NOUN	იესუ	
